Organization Name,IPO Status,Company Type,Number of Employees,Last Funding Type,Last Funding Date,Founded Date,Founded Date Precision,Operating Status,Number of Founders,Number of Funding Rounds,Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Industries,Headquarters Location
Mapbox,Private,For Profit,501-1000,Series E,2023-09-19,2010-01-01,year,Active,3.0,8.0,280000000.0,280000000.0,613600000.0,614175000.0,"SoftBank, Thrive Capital, PremjiInvest, Foundry Group, Promus Ventures",13.0,"Washington DC Metro Area, Southern US","Data and Analytics, Navigation and Mapping, Software, Transportation","Business Intelligence, Fleet Management, Logistics, Mapping Services, SaaS","Washington, District of Columbia, United States"
CMR Surgical,Private,For Profit,501-1000,Series D,2023-09-20,2014-01-27,day,Active,3.0,6.0,163948774.0,163948774.0,1138629847.0,1138629847.0,"GE Healthcare, Tencent, Cambridge Innovation Capital, Lightrock, Ally Bridge Group",15.0,"Europe, Middle East, and Africa (EMEA)","Hardware, Health Care, Science and Engineering, Software","Health Care, Medical Device, Robotics","Cambridge, Cambridgeshire, United Kingdom"
Autobahn Therapeutics,Private,For Profit,11-50,Series C,2024-07-24,2017-01-01,year,Active,1.0,3.0,100000000.0,100000000.0,208700000.0,208700000.0,"Blue Owl, Bristol-Myers Squibb, Biogen, Insight Partners, Invus",17.0,"Greater San Diego Area, West Coast, Western US","Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Life Science, Therapeutics","San Diego, California, United States"
Essential AI,Private,For Profit,11-50,Series A,2023-12-12,2023-01-01,year,Active,2.0,2.0,56500000.0,56500000.0,64500000.0,64500000.0,"NVIDIA, Google, Thrive Capital, AMD, KB Investment",10.0,"San Francisco Bay Area, West Coast, Western US","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information Technology, Software","San Francisco, California, United States"
ZappFresh,Private,For Profit,11-50,Venture - Series Unknown,2023-11-23,2015-01-01,year,Active,2.0,9.0,3599528.0,3599528.0,11498611.0,11498611.0,"SIDBI Venture Capital, HT Media, ah! Ventures, ICICI Venture, Heifer International",8.0,Asia-Pacific (APAC),"Apps, Food and Beverage, Software, Transportation","Apps, Food and Beverage, Food Delivery","Gurgaon, Haryana, India"
Ellucian,Private,For Profit,5001-10000,Debt Financing,2020-09-17,1968-01-01,year,Active,1.0,1.0,1600000000.0,0.0,0.0,1600000000.0,"UBS, Morgan Stanley, TPG, Goldman Sachs, JP Morgan",8.0,"Washington DC Metro Area, East Coast, Southern US","Education, Information Technology, Software","Education, Enterprise Resource Planning (ERP), Information Technology, Software","Fairfax, Virginia, United States"
BioAge Labs,Private,For Profit,101-250,Series D,2024-02-13,2015-01-01,year,Active,2.0,5.0,170000000.0,170000000.0,293900000.0,293900000.0,"Khosla Ventures, Andreessen Horowitz, RA Capital Management, OrbiMed, Sands Capital Ventures",23.0,"San Francisco Bay Area, West Coast, Western US","Biotechnology, Health Care, Science and Engineering","Biopharma, Biotechnology, Life Science, Therapeutics","Richmond, California, United States"
Optibus,Private,For Profit,251-500,Venture - Series Unknown,2022-07-05,2014-04-01,day,Active,3.0,6.0,0.0,0.0,260000000.0,260000000.0,"Alibaba Group, Tencent, Insight Partners, Bessemer Venture Partners, Verizon Ventures",12.0,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation","Artificial Intelligence (AI), Public Transportation, SaaS","Tel Aviv, Tel Aviv, Israel"
Dragos,Private,For Profit,251-500,Series D,2023-09-18,2016-04-01,month,Active,3.0,9.0,74000000.0,74000000.0,432200000.0,438200000.0,"BlackRock, WestCap, Hewlett Packard Enterprise, Rockwell Automation, Emerson",17.0,"Greater Baltimore-Maryland Area, East Coast, Southern US","Information Technology, Privacy and Security","Cyber Security, Network Security, Security","Hanover, Maryland, United States"
TaxBit,Private,For Profit,251-500,Venture - Series Unknown,2024-04-25,2018-01-01,year,Active,4.0,8.0,0.0,0.0,253360311.0,253360311.0,"Galaxy Digital, Tiger Global Management, Insight Partners, Collaborative Fund, Global Founders Capital",31.0,Western US,"Blockchain and Cryptocurrency, Financial Services, Payments, Professional Services, Software","Accounting, Cryptocurrency, Financial Services, FinTech, Software","Draper, Utah, United States"
Veriff,Private,For Profit,501-1000,Series C,2022-01-26,2015-10-20,day,Active,2.0,7.0,100000000.0,100000000.0,176820000.0,192320000.0,"Accel, Y Combinator, Tiger Global Management, LIFT99, Elad Gil",18.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Payments, Privacy and Security, Science and Engineering, Software","Artificial Intelligence (AI), Cyber Security, Fraud Detection, Identity Management, Information Technology","Tallinn, Harjumaa, Estonia"
Onfido,Private,For Profit,501-1000,Series D,2020-04-15,2012-01-01,year,Active,3.0,13.0,100000000.0,100000000.0,182117808.0,182136505.0,"Eurazeo, Augmentum Fintech, SBI Investment, M12 - Microsoft's Venture Fund, Plug and Play",37.0,"Europe, Middle East, and Africa (EMEA)","Financial Services, Information Technology, Payments, Privacy and Security, Software","FinTech, Fraud Detection, Identity Management, Information Technology, Software","London, England, United Kingdom"
UnaBiz,Private,For Profit,101-250,Series C,2024-08-08,2016-05-06,day,Active,4.0,7.0,25000000.0,25000000.0,89500000.0,89500000.0,"Engie, Global Brain Corporation, KDDI Open Innovation Fund, ENGIE New Ventures, Kyocera Communication System",11.0,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Hardware, Information Technology, Internet Services, Privacy and Security","Internet of Things, Network Security, Telecommunications","Singapore, Central Region, Singapore"
ClearTax,Private,For Profit,1001-5000,Venture - Series Unknown,2022-01-13,2011-01-01,year,Active,3.0,7.0,0.0,0.0,140239367.0,140239367.0,"Stripe, Sequoia Capital, Elevation Capital, Y Combinator, Balaji Srinivasan",23.0,Asia-Pacific (APAC),"Apps, Financial Services, Professional Services, Software","Accounting, Apps, Financial Services, FinTech","Bangalore, Karnataka, India"
Exoticca,Private,For Profit,251-500,Series D,2024-07-24,2014-01-01,year,Active,2.0,10.0,65071052.0,65071052.0,139956265.0,166804010.0,"BBVA Spark, ICF Capital, K Fund, Mangrove Capital Partners, Claret Capital Partners",21.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Events, Media and Entertainment, Travel and Tourism","Adventure Travel, Reservations, Travel, Travel Accommodations","Barcelona, Catalonia, Spain"
Invoca,Private,For Profit,251-500,Series F,2022-06-14,2008-05-01,day,Active,3.0,7.0,83000000.0,83000000.0,201499998.0,201499998.0,"Accel, Industry Ventures, Upfront Ventures, StepStone Group, Bonfire Ventures",14.0,"West Coast, Western US","Advertising, Artificial Intelligence (AI), Data and Analytics, Hardware, Sales and Marketing, Science and Engineering, Software","Advertising, Analytics, Artificial Intelligence (AI), Digital Marketing, Telecommunications","Santa Barbara, California, United States"
Bear Robotics,Private,For Profit,251-500,Series C,2024-03-11,2017-05-05,day,Active,4.0,7.0,60000000.0,60000000.0,175750000.0,175750000.0,"SoftBank, LG Electronics, TIPS Program, Woowa Bros, Line",17.0,"San Francisco Bay Area, Silicon Valley, West Coast","Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Travel and Tourism","Artificial Intelligence (AI), Hospitality, Machine Learning, Robotics, Software","Redwood City, California, United States"
BuildOps,Private,For Profit,101-250,Venture - Series Unknown,2023-05-18,2018-08-01,month,Active,3.0,4.0,50000000.0,50000000.0,98800000.0,98800000.0,"Sequoia Capital, Founders Fund, MetaProp, 1984 Ventures, StepStone Group",18.0,"Greater Los Angeles Area, West Coast, Western US","Information Technology, Mobile, Real Estate, Software","Commercial Real Estate, Information Technology, Mobile, SaaS, Software","Santa Monica, California, United States"
MolecuLight,Private,For Profit,1-10,Series C,2024-08-15,2013-01-01,year,Active,1.0,7.0,8537155.0,8537155.0,16304005.0,37744364.0,"Prosegur, Azahar, Export Development Canada, SWK Holdings, BDC Capital Corporation",8.0,Great Lakes,Health Care,"Health Care, Medical, Medical Device","Toronto, Ontario, Canada"
Evisort,Private,For Profit,101-250,Series C,2022-05-11,2016-01-01,year,Active,3.0,6.0,100000000.0,100000000.0,155600000.0,155600000.0,"M12 - Microsoft's Venture Fund, Vertex Ventures, TCV, General Atlantic, Breyer Capital",10.0,"San Francisco Bay Area, West Coast, Western US","Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Contact Management, Document Management, Legal Tech, Software","San Francisco, California, United States"
PreciseDx,Private,For Profit,1-10,Series B,2024-08-21,2019-01-01,year,Active,4.0,2.0,20700000.0,20700000.0,31450000.0,31450000.0,"Quest Diagnostics, Agilent Technologies, LabCorp, Mount Sinai Health System, IBM Ventures",8.0,"Greater New York Area, East Coast, Northeastern US",Health Care,Health Care,"New York, New York, United States"
Greenhouse Software,Private,For Profit,501-1000,Series D,2018-07-12,2012-01-01,month,Active,2.0,8.0,50000000.0,50000000.0,110130270.0,110130270.0,"Thrive Capital, Social Capital, Benchmark, Felicis, Frontline Ventures",18.0,"Greater New York Area, East Coast, Northeastern US","Other, Professional Services, Software","B2B, Enterprise Software, Recruiting, SaaS, Software","New York, New York, United States"
WorkOS,Private,For Profit,51-100,Series B,2022-06-01,2019-01-01,year,Active,1.0,4.0,80000000.0,80000000.0,95000000.0,95000000.0,"Lightspeed Venture Partners, Greenoaks, Abstract Ventures, Jack Altman, Gokul Rajaram",17.0,"San Francisco Bay Area, West Coast, Western US","Information Technology, Platforms, Software","Developer APIs, Developer Tools, Information Technology, Operating Systems","San Francisco, California, United States"
PayJoy,Private,For Profit,1001-5000,Debt Financing,2023-09-05,2015-01-01,year,Active,4.0,9.0,210000000.0,150000000.0,180500000.0,410150000.0,"Citi, Warburg Pincus, 500 Global, Union Square Ventures, Invus",42.0,"San Francisco Bay Area, West Coast, Western US","Financial Services, Lending and Investments, Mobile, Other","Credit, Emerging Markets, Financial Services, FinTech, Mobile","San Francisco, California, United States"
Neo Asset Management,Private,For Profit,11-50,Venture - Series Unknown,2024-08-12,2021-01-01,year,Active,1.0,4.0,47642582.0,47642582.0,139751017.0,139751017.0,"MUFG Bank, Peak XV Partners, Euclidean Capital, BridgeMonte Advisors Pvt. Ltd., SN Damani",6.0,Asia-Pacific (APAC),"Financial Services, Professional Services","Asset Management, Consulting, Finance, Financial Services","Mumbai, Maharashtra, India"
Sila,Private,For Profit,251-500,Series G,2024-06-27,2011-01-01,year,Active,4.0,8.0,375000000.0,375000000.0,1255000000.0,1355499609.0,"Mercedes-Benz Group AG, CPP Investments, Sutter Hill Ventures, US Department of Energy, T. Rowe Price",16.0,"San Francisco Bay Area, West Coast, Western US","Consumer Electronics, Energy, Hardware, Manufacturing, Science and Engineering, Transportation","Battery, Electric Vehicle, Electronics, Manufacturing, Nanotechnology","Alameda, California, United States"
Reltio,Private,For Profit,251-500,Series E,2021-11-04,2011-06-17,day,Active,2.0,5.0,120000000.0,120000000.0,237000000.0,237000000.0,"New Enterprise Associates, Crosslink Capital, Brighton Park Capital, Sapphire Ventures, .406 Ventures",7.0,"San Francisco Bay Area, West Coast, Western US","Data and Analytics, Financial Services, Information Technology, Software","Analytics, Data Governance, Data Integration, Data Management, InsurTech, PaaS, SaaS, Software","Redwood Shores, California, United States"
Preligens,Private,For Profit,101-250,Convertible Note,2023-03-01,2016-01-01,year,Active,2.0,7.0,10881834.0,23732534.0,28302762.0,39184596.0,"Bpifrance, Wendel, AGORANOV, 360 Capital, Ace Capital Partners",5.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software","Aerospace, Artificial Intelligence (AI), Computer Vision, Information Technology, Machine Learning, Satellite Communication","Paris, Ile-de-France, France"
InventWood,Private,For Profit,11-50,Venture - Series Unknown,2024-08-08,2016-01-01,year,Active,1.0,3.0,8000000.0,8000000.0,8000000.0,29000000.0,"Maryland Department of Commerce, US Department of Energy, Grantham Foundation, Builders Vision, Echelon",6.0,"Washington DC Metro Area, East Coast, Southern US","Biotechnology, Manufacturing, Science and Engineering, Sustainability","Biotechnology, Environmental Engineering, Manufacturing, Wood Processing","College Park, Maryland, United States"
AgDevCo,Private,For Profit,51-100,Grant,2024-09-05,2009-01-01,year,Active,1.0,5.0,32895429.0,50000000.0,120000000.0,243670025.0,"British International Investment, CDC Group, Norfund, U.S. International Development Finance Corp, Foreign, Commonwealth & Development Office",6.0,"Europe, Middle East, and Africa (EMEA)","Agriculture and Farming, Financial Services, Professional Services","Agriculture, Business Development, Finance","London, England, United Kingdom"
TravelPerk,Private,For Profit,1001-5000,Debt Financing,2024-06-17,2015-01-01,day,Active,3.0,12.0,134168685.0,103146735.0,529969410.0,664138095.0,"Blue Owl, General Catalyst, Greyhound Capital, Heartcore Capital, Spark Capital",31.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Events, Media and Entertainment, Software, Travel and Tourism","Business Travel, SaaS, Software, Ticketing, Travel","Barcelona, Catalonia, Spain"
SnapLogic,Private,For Profit,251-500,Series H,2021-12-13,2006-01-01,year,Active,1.0,10.0,165000000.0,165000000.0,371299999.0,371299999.0,"Microsoft, Andreessen Horowitz, Sixth Street, Vitruvian Partners, Floodgate",17.0,"San Francisco Bay Area, Silicon Valley, West Coast","Data and Analytics, Information Technology, Internet Services, Software","Cloud Computing, Cloud Data Services, Data Management, Enterprise Software, Information Technology, PaaS, SaaS","San Mateo, California, United States"
NewSpring,Private,For Profit,51-100,Private Equity,2024-05-14,1999-01-01,year,Active,1.0,4.0,2788289.0,2788289.0,203239162.0,203239162.0,"Northleaf Capital Partners, 17Capital, Velocity Structured Solutions",3.0,"Greater Philadelphia Area, Great Lakes, Northeastern US","Financial Services, Lending and Investments, Other","Angel Investment, Professional Services, Venture Capital","Radnor, Pennsylvania, United States"
Storj,Private,For Profit,51-100,Initial Coin Offering,2017-07-11,2014-01-01,year,Active,5.0,7.0,30000000.0,30000000.0,34800000.0,35400000.0,"Techstars, Pindrop, Google Ventures, Cockroach Labs, Ionic Security",15.0,"Greater Atlanta Area, East Coast, Southern US","Hardware, Information Technology, Internet Services, Other, Software","Cloud Data Services, Cloud Infrastructure, Collaborative Consumption, Software","Atlanta, Georgia, United States"
Deepnote,Private,For Profit,51-100,Series A,2022-01-31,2019-01-01,year,Active,4.0,3.0,20000000.0,20000000.0,23800000.0,23800000.0,"Y Combinator, Accel, Daniel Gross, Index Ventures, Elad Gil",19.0,"San Francisco Bay Area, West Coast, Western US","Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Internet Services, Science and Engineering, Software","Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Cloud Data Services, Data Visualization, Machine Learning, PaaS","San Francisco, California, United States"
